distribution_identifier,indice_tiempo,frec_temporal,alcance_tipo,alcance_id,alcance_nombre,sup_sembrada_algodon,sup_cosechada_algodon,prod_algodon,vbp_k_2004_textil_productos,vbp_k_2004_textil_confecciones,vbp_c_textil_productos,vbp_c_textil_confecciones,vab_k_2004_textil_productos,vab_k_2004_textil_confecciones,vab_c_textil_productos,vab_c_textil_confecciones,vab_ivf_textil_productos,vab_ivf_textil_confecciones,vab_ipi_textil_productos,vab_ipi_textil_confecciones,empleo_textil_productos,empleo_textil_confecciones,empresas_textil_productos,empresas_textil_confecciones,remuneracion_textil_productos,remuneracion_textil_confecciones,precio_fibra_algodon_c1/2,precio_indice_a
28.1,1990-12-31,anual,PAIS,200,Argentina,553100,544900,922950,,,,,,,,,,,,,,,,,,,,
28.1,1991-12-31,anual,PAIS,200,Argentina,638800,538500,789400,,,,,,,,,,,,,,,,,,,,
28.1,1992-12-31,anual,PAIS,200,Argentina,614900,529100,651960,,,,,,,,,,,,,,,,,,,,
28.1,1993-12-31,anual,PAIS,200,Argentina,377747,302027,430588,,,,,,,,,,,,,,,,,,,,
28.1,1994-12-31,anual,PAIS,200,Argentina,503610,483920,705880,,,,,,,,,,,,,,,,,,,,
28.1,1995-12-31,anual,PAIS,200,Argentina,761500,679658,1125147,,,,,,,,,,,,,,,,,687.221579,565.793126,,
28.1,1996-12-31,anual,PAIS,200,Argentina,1009800,969390,1346940,,,,,,,,,,,,,53349.5,35484.5,2585,2908,708.105728,561.304192,,
28.1,1997-12-31,anual,PAIS,200,Argentina,955560,887140,1029866,,,,,,,,,,,,,55573.25,36350.75,2622,2860,711.004229,567.720298,,
28.1,1998-12-31,anual,PAIS,200,Argentina,1133150,877530,986230,,,,,,,,,,,,,55573.5,36993,2606,2814,714.077396,578.977042,,
28.1,1999-12-31,anual,PAIS,200,Argentina,750930,639690,617542,,,,,,,,,,,,,50390,34114.25,2459,2659,708.27784,577.838494,,
28.1,2000-12-31,anual,PAIS,200,Argentina,345950,332090,417680,,,,,,,,,,,,,46783.5,32382.25,2359,2600,701.717607,571.850426,,
28.1,2001-12-31,anual,PAIS,200,Argentina,410905,388153,509405,,,,,,,,,,,,,44187.75,30324.25,2178,2340,679.395652,555.977889,,
28.1,2002-12-31,anual,PAIS,200,Argentina,174043,164731,218159,,,,,,,,,,,,,39072.5,24613.75,2023,2118,700.233902,564.685039,,
28.1,2003-12-31,anual,PAIS,200,Argentina,158209,145723,201506,,,,,,,,,,,,,45060.5,27899.25,2223,2506,884.583062,695.787627,,
28.1,2004-12-31,anual,PAIS,200,Argentina,266387,254913,353799,7776.774351,7327.722689,7776.774351,7327.722689,2690.851406,3778.67606,2690.851406,3778.67606,100,100,100,100,51858,33814,2458,2929,1103.289362,852.064961,,
28.1,2005-12-31,anual,PAIS,200,Argentina,406421,374700,448315,8737.841343,8972.825191,8448.838446,9688.297412,3070.686702,4622.191704,2968.741658,4988.01592,114.1158035,122.3230473,96.68005714,107.9145185,57237.75,38592.5,2605,3171,1299.920812,1026.00918,,
28.1,2006-12-31,anual,PAIS,200,Argentina,309094,304397,417770,8993.660585,9160.904447,9440.518354,10851.7067,3180.192085,4714.92931,3354.58101,5588.039704,118.1853475,124.7772827,105.4835972,118.5179954,62430.25,43676.25,2843,3610,1572.550438,1231.59622,,
28.1,2007-12-31,anual,PAIS,200,Argentina,403638,393005,545382,9895.852107,9604.591867,11232.34638,12610.32937,3454.851512,4939.140623,3912.141642,6492.546118,128.3925044,130.7108771,113.2361732,131.4509267,65759,47416.5,2951,3798,1872.722679,1466.682378,,
28.1,2008-12-31,anual,PAIS,200,Argentina,307259,300227,489633,9030.585762,9941.224738,11722.4513,15378.57955,3160.041802,5110.619385,4078.420515,7916.955186,117.4365033,135.2489418,129.0622331,154.9118529,66931.25,49595,2992,3909,2297.355595,1895.733631,,
28.1,2009-12-31,anual,PAIS,200,Argentina,297292,288117,386676,8506.356422,9671.337485,11667.65142,16633.80345,2990.780558,4968.289045,4104.452906,8556.654045,111.1462547,131.4822696,137.2368459,172.2253671,63456.5,47591.75,2960,3830,2702.201211,2249.985109,,
28.1,2010-12-31,anual,PAIS,200,Argentina,489410,440872,753503,10260.10458,10788.58321,16670.63827,21807.44485,3585.839102,5551.501357,5809.8263,11235.42934,133.2603909,146.9165726,162.0213884,202.3854201,65271,48542.75,2958,3760,3478.55096,3011.627483,,
28.1,2011-12-31,anual,PAIS,200,Argentina,640765,623399,1032545,10646.08357,11930.36328,22657.93751,30860.05308,3733.315581,6132.583488,7882.708103,15893.63546,138.7410532,162.2945018,211.1449711,259.1670458,66253.25,49409.75,3028,3749,4593.551168,4161.792722,,
28.1,2012-12-31,anual,PAIS,200,Argentina,622146,528221,708650,9644.517835,11027.7381,24516.11274,35203.23225,3397.423725,5660.576491,8623.719845,18090.64337,126.258318,149.8031692,253.8311539,319.5901229,69116.75,48676.5,3022,3677,6191.921212,5408.205254,,
28.1,2013-12-31,anual,PAIS,200,Argentina,410650,361455,543008,9297.319894,11331.25892,29783.33102,45636.73198,3257.76867,5815.098299,10458.88212,23476.54326,121.0683229,153.89248,321.0443458,403.7170492,69687.75,47906.25,3017,3613,7983.744853,6800.688556,,
28.1,2014-12-31,anual,PAIS,200,Argentina,552246,512821,1019654,9767.755834,9985.153572,44477.37146,56435.77235,3410.932138,5127.03491,15515.03213,28994.88847,126.7603306,135.6833671,454.8619409,565.5293747,67959.75,47071,2977,3592,10415.34732,9163.29425,,
28.1,2015-12-31,anual,PAIS,200,Argentina,523680,455945,795345,9585.461762,10419.35136,56154.20033,77197.68744,3361.581482,5356.169654,19755.1761,39700.15436,124.9263142,141.7472567,587.6750634,741.2041986,68069.75,47995.5,3002,3645,13420.17852,11656.52373,,
28.1,2016-12-31,anual,PAIS,200,Argentina,406130,376780,673145,8622.811811,9199.351395,69568.00841,92704.93213,3005.812574,4732.128071,24169.0009,47456.91088,111.7048889,125.2324358,804.0754473,1002.866156,67594.25,47287,,,17377.14597,15742.49202,,
