indice_tiempo,alcance_nombre,alcance_tipo,sup_sembrada_algodon,sup_cosechada_algodon,prod_algodon
1990-12-31,CORRIENTES,PROVINCIA,24000,21500,34150
1991-12-31,CORRIENTES,PROVINCIA,9600,9500,14290
1992-12-31,CORRIENTES,PROVINCIA,12900,11900,17965
1993-12-31,CORRIENTES,PROVINCIA,10797,10727,11403
1994-12-31,CORRIENTES,PROVINCIA,11110,7820,6540
1995-12-31,CORRIENTES,PROVINCIA,15510,13860,17962
1996-12-31,CORRIENTES,PROVINCIA,18000,14280,15780
1997-12-31,CORRIENTES,PROVINCIA,16400,14900,16100
1998-12-31,CORRIENTES,PROVINCIA,18000,8000,5903
1999-12-31,CORRIENTES,PROVINCIA,16000,16000,19145
2000-12-31,CORRIENTES,PROVINCIA,6000,5300,5400
2001-12-31,CORRIENTES,PROVINCIA,6615,5263,5754
2002-12-31,CORRIENTES,PROVINCIA,4455,2972,2644
2003-12-31,CORRIENTES,PROVINCIA,4349,1909,2017
2004-12-31,CORRIENTES,PROVINCIA,5348,4544,3925
2005-12-31,CORRIENTES,PROVINCIA,7291,5742,5225
2006-12-31,CORRIENTES,PROVINCIA,4519,4347,5463
2007-12-31,CORRIENTES,PROVINCIA,4433,4375,5387
2008-12-31,CORRIENTES,PROVINCIA,1327,1242,1314
2009-12-31,CORRIENTES,PROVINCIA,1177,832,647
2010-12-31,CORRIENTES,PROVINCIA,1390,1237,1247
2011-12-31,CORRIENTES,PROVINCIA,1290,1234,1255
2012-12-31,CORRIENTES,PROVINCIA,900,900,900
2013-12-31,CORRIENTES,PROVINCIA,455,445,668
2014-12-31,CORRIENTES,PROVINCIA,480,300,840
2015-12-31,CORRIENTES,PROVINCIA,530,530,1060
2016-12-31,CORRIENTES,PROVINCIA,900,900,1350
2017-12-31,CORRIENTES,PROVINCIA,900,900,1350
1990-12-31,ENTRE RIOS,PROVINCIA,0,0,0
1991-12-31,ENTRE RIOS,PROVINCIA,0,0,0
1992-12-31,ENTRE RIOS,PROVINCIA,0,0,0
1993-12-31,ENTRE RIOS,PROVINCIA,800,800,1200
1994-12-31,ENTRE RIOS,PROVINCIA,1000,900,1100
1995-12-31,ENTRE RIOS,PROVINCIA,2000,1910,2900
1996-12-31,ENTRE RIOS,PROVINCIA,4800,2900,3190
1997-12-31,ENTRE RIOS,PROVINCIA,2000,2000,3000
1998-12-31,ENTRE RIOS,PROVINCIA,2600,1200,960
1999-12-31,ENTRE RIOS,PROVINCIA,1450,1450,1400
2000-12-31,ENTRE RIOS,PROVINCIA,600,490,392
2001-12-31,ENTRE RIOS,PROVINCIA,600,600,720
2002-12-31,ENTRE RIOS,PROVINCIA,230,230,230
2003-12-31,ENTRE RIOS,PROVINCIA,160,120,152
2004-12-31,ENTRE RIOS,PROVINCIA,310,310,372
2005-12-31,ENTRE RIOS,PROVINCIA,410,410,480
2006-12-31,ENTRE RIOS,PROVINCIA,380,380,442
2007-12-31,ENTRE RIOS,PROVINCIA,300,300,300
2008-12-31,ENTRE RIOS,PROVINCIA,380,380,442
2009-12-31,ENTRE RIOS,PROVINCIA,380,380,442
2010-12-31,ENTRE RIOS,PROVINCIA,200,200,200
2011-12-31,ENTRE RIOS,PROVINCIA,250,100,120
2012-12-31,ENTRE RIOS,PROVINCIA,780,780,1654
2013-12-31,ENTRE RIOS,PROVINCIA,850,850,1190
2014-12-31,ENTRE RIOS,PROVINCIA,1050,1050,1525
2015-12-31,ENTRE RIOS,PROVINCIA,1100,1100,1770
2016-12-31,ENTRE RIOS,PROVINCIA,1300,900,810
2017-12-31,ENTRE RIOS,PROVINCIA,1400,1400,2040
1990-12-31,JUJUY,PROVINCIA,0,0,0
1991-12-31,JUJUY,PROVINCIA,0,0,0
1992-12-31,JUJUY,PROVINCIA,0,0,0
1993-12-31,JUJUY,PROVINCIA,3500,700,1280
1994-12-31,JUJUY,PROVINCIA,1300,1300,3400
1995-12-31,JUJUY,PROVINCIA,2800,2800,6000
1996-12-31,JUJUY,PROVINCIA,1500,600,1040
1997-12-31,JUJUY,PROVINCIA,1100,1100,2200
1998-12-31,JUJUY,PROVINCIA,1000,1000,1650
1999-12-31,JUJUY,PROVINCIA,1000,1000,2000
2000-12-31,JUJUY,PROVINCIA,0,0,0
2001-12-31,JUJUY,PROVINCIA,0,0,0
2002-12-31,JUJUY,PROVINCIA,0,0,0
2003-12-31,JUJUY,PROVINCIA,0,0,0
2004-12-31,JUJUY,PROVINCIA,0,0,0
2005-12-31,JUJUY,PROVINCIA,0,0,0
2006-12-31,JUJUY,PROVINCIA,0,0,0
2007-12-31,JUJUY,PROVINCIA,0,0,0
2008-12-31,JUJUY,PROVINCIA,0,0,0
2009-12-31,JUJUY,PROVINCIA,0,0,0
2010-12-31,JUJUY,PROVINCIA,0,0,0
